Rk,Gcar,Gtm,Date,Tm,,Opp,Rslt,Inngs,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,BOP,Pos
120,413,132,Aug 31 (2),BOS,,PHA,L2-3,CG(7),4,1,0,0,0,0,0,0,3,0,0,0,0,0,,0,0,0,0.407,0.55,0.726,1.276,4,LF
121,414,133,Sep 1 (1),BOS,,WSH,W13-9,CG,5,3,2,2,0,0,2,4,2,0,0,0,0,0,,0,0,0,0.409,0.553,0.741,1.294,4,LF
122,415,134,Sep 1 (2),BOS,,WSH,W10-2,CG,4,2,3,1,0,0,1,1,2,0,0,0,0,0,,0,0,0,0.41,0.554,0.747,1.302,4,LF
123,416,135,3-Sep,BOS,,NYY,L1-2,CG(11),5,3,0,1,0,0,0,0,2,0,0,0,0,0,,0,0,0,0.409,0.555,0.744,1.299,4,LF
124,417,136,4-Sep,BOS,,NYY,L3-6,CG,4,1,1,1,0,0,0,0,3,0,0,0,0,0,,0,0,1,0.411,0.558,0.745,1.303,4,LF RF
125,418,137,6-Sep,BOS,@,NYY,W8-1,CG,5,4,1,1,0,0,0,1,1,0,0,0,0,0,,0,0,0,0.409,0.557,0.74,1.297,3,LF
126,419,138,7-Sep,BOS,@,NYY,L5-8,CG,5,4,1,3,2,0,0,1,1,0,0,0,0,0,,0,0,0,0.413,0.559,0.745,1.304,3,LF
127,420,139,9-Sep,BOS,,DET,W6-0,CG,4,3,0,1,0,0,0,0,1,0,0,0,0,0,,0,0,0,0.412,0.559,0.742,1.301,4,LF
128,421,140,10-Sep,BOS,,DET,W11-2,GS-0,5,4,1,2,1,0,0,3,1,0,0,0,0,0,,0,0,0,0.413,0.559,0.742,1.301,4,LF
129,422,141,12-Sep,BOS,,SLB,W5-0,CG,5,3,1,0,0,0,0,0,2,0,0,0,0,0,,0,0,0,0.41,0.558,0.737,1.294,4,LF
130,423,142,13-Sep,BOS,,SLB,W7-2,CG,4,1,0,0,0,0,0,0,3,0,0,0,0,0,,0,0,0,0.409,0.559,0.735,1.294,4,LF
131,424,143,Sep 14 (1),BOS,,CHW,W9-2,CG,5,3,1,2,1,0,0,1,2,0,0,0,0,0,,0,0,0,0.411,0.561,0.737,1.298,4,LF
132,425,144,Sep 14 (2),BOS,,CHW,W5-1,CG,4,4,1,1,0,1,0,1,0,0,1,0,0,0,,0,0,0,0.409,0.559,0.737,1.296,4,LF
133,426,145,15-Sep,BOS,,CHW,W6-1,CG,4,3,1,1,0,0,1,3,1,0,0,0,0,0,,1,0,0,0.409,0.559,0.741,1.3,4,LF
